"Id@github","Link@linkedin","Confidence"
"rochelleterman","rochelleterman","70"
"tonycosentini","tonycosentini","78"
"tonyghita","tonyghita","73"
"tonyta","tonyta","83"
"tonythomson","tonythomson","78"
"dwighthubbard","dwighthubbard","70"
"maximkulkin","maximkulkin","70"
"ekiwan","ekiwan","78"
"jbouhier","jbbouhier","70"
"jeaniejung","jeaniejung","70"
"JeanSebTr","jeansebtr","70"
"jrichardlai","jeanrichardlai","79"
"agganderson","aliganderson","70"
"eclifford","eclifford","75"
"eedeebee","eedeebee","70"
"ehough","ehough","70"
"ejconlon","ejconlon","82"
"Eric-Gonzalez","ericegonzalez","70"
"eric-stanley","ericrstanley","74"
"Eric-Vandenberg","eric-vandenberg","70"
"erichosick","erichosick","70"
"erichsu7","erichsu7","78"
"ericjohnston1989","ericjohnstonms","65"
"EricMFischer","ericjfischer","75"
"ericmwalsh","ericmwalsh1","70"
"ericrwolfe","ericrwolfe","70"
"ericsysmin","ericsysmin","74"
"erictheise","erictheise","78"
"erictu","erictu","74"
"esammer","esammer","87"
"esigler","esigler","78"
"Firehed","firehed","70"
"cynthiaechen","cynthiachen1","70"
"samuel","samuelks","68"
"razfar","razfar","74"
"alfonsoperez","alfonsojperezm","74"
"ilganeli","ilganeli","78"
"bengl","bengl","74"
"bryanchang","bryankchang","78"
"bryanjenningz","wbryanjennings","70"
"bryankaraffa","bryankaraffa","70"
"bryanmojica","bryanmojica","70"
"Bryanprz","bryanprz","70"
"bryansattler","bryansattler","70"
"BryantLuu","bryantluu","70"
"bryanveloso","bryanveloso","70"
"cooloney","cooloney","70"
"harshavardhana","harshavardhanar","73"
"dodeja","dodeja","70"
"jduhamel","jduhamel","70"
"joeblau","joeblau","70"
"joedevon","joedevon","73"
"JoeDoyle23","joedoyle68","74"
"joefallon","jdfallon","65"
"JoeFerrucci","joeferrucci","70"
"joemccann","joemccann","70"
"joemcmahon","jpmcmahon","75"
"joeworkman","joeworkman","70"
"josephgrossberg","joegrossberg","70"
"jprempeh","joeprempeh","70"
"jroers","joeroers","68"
"anotherjesse","anotherjesse","82"
"hathawayjess","hathawayjess","70"
"jayunani","jayunani","70"
"jessedhillon","jessedhillon","70"
"jesseditson","jesseditson","78"
"jessefulton","jessefulton","82"
"jessesquires","jessesquires","78"
"jesseward","sjesseward","70"
"jproulx","jproulx","70"
"zakiali","zakiali","70"
"RISCfuture","riscfuture","84"
"theckman","timheckman","70"
"timburks","timburks","70"
"TimCannady","timcannady","70"
"timdang","timdang","75"
"timfulmer","timfulmer","70"
"timhall1","timhall5","70"
"timhudson","timwhudson","75"
"timkendall","timjkendall","74"
"timmatheson","timmatheson","70"
"timonus","timonus","82"
"timsu","timysu","74"
"timwilkens","timwilkens","70"
"tjarratt","timjarratt","70"
"ravikalaga","ravikalaga","74"
"ozeias","ozeias","78"
"say2joe","say2joe","70"
"toadkicker","toadkicker","70"
"BennettSmith","bennettmsmith","70"
"barmstrong","barmstrong","78"
"bchu","brchu","76"
"bcjordan","bcjordan","82"
"bcwaldon","bcwaldon","74"
"bdmac","bdmac","83"
"bdurand","bbdurand","78"
"bhaberer","bhaberer","83"
